game_title,platform,release_date,genre,developer,rating,price,multiplayer,description
Assassin's Creed Valhalla,PC,03/04/2003,puzzle,DabZ,E for Everyone,51.87,false,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
Animal Crossing: New Horizons,PlayStation 4,12/11/2020,horror,Topicstorm,T for Teen,3.26,true,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
Overwatch,Xbox One,15/04/2004,fighting,Trudeo,T for Teen,33.71,false,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
League of Legends,Nintendo Switch,16/04/2019,horror,Edgewire,M for Mature,98.6,false,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
World of Warcraft,PC,05/11/1990,simulation,Skyba,M for Mature,22.47,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
Madden NFL 21,PlayStation 4,19/11/2011,strategy,Voonix,E for Everyone,70.79,true,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
NBA 2K21,Xbox One,14/03/1998,party,Innojam,T for Teen,69.56,true,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
Final Fantasy VII Remake,Nintendo Switch,30/04/1999,horror,Snaptags,T for Teen,91.59,false,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
Cyberpunk 2077,PC,17/09/1993,action,Zooveo,E for Everyone,79.99,true,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Resident Evil 3,PlayStation 4,29/06/2022,adventure,Photofeed,E for Everyone,59.25,true,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo."
Doom Eternal,Xbox One,28/08/2022,sandbox,Tazz,E for Everyone,43.85,false,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Apex Legends,Nintendo Switch,09/09/2005,simulation,Gevee,E for Everyone,56.89,true,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Rainbow Six Siege,PC,09/06/2008,adventure,Photobug,M for Mature,71.18,true,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Genshin Impact,PlayStation 4,08/09/2003,racing,LiveZ,E for Everyone,55.9,true,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
Among Us,Xbox One,14/10/2014,educational,Bubbletube,E for Everyone,2.51,true,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
Hades,Nintendo Switch,11/02/2015,simulation,Viva,E for Everyone,33.33,true,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Ghost of Tsushima,PC,04/03/2000,platformer,Wordware,E for Everyone,19.09,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
The Last of Us Part II,PlayStation 4,19/05/2015,strategy,Jazzy,T for Teen,48.97,false,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Pokémon Sword and Shield,Xbox One,17/01/2018,music,Nlounge,M for Mature,6.56,false,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
Star Wars Jedi: Fallen Order,Nintendo Switch,03/08/2007,sports,Tazz,T for Teen,97.08,true,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Marvel's Spider-Man: Miles Morales,PC,02/03/1983,party,Quimba,M for Mature,37.89,false,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo."
Demon's Souls,PlayStation 4,11/12/1993,fighting,Kimia,T for Teen,80.45,false,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
God of War,Xbox One,02/06/1984,simulation,Mydo,T for Teen,6.19,false,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
Halo Infinite,Nintendo Switch,16/04/1984,racing,Gabtype,E for Everyone,59.06,true,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
The Elder Scrolls V: Skyrim,PC,10/08/2009,board,Brainlounge,T for Teen,15.94,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
Red Dead Redemption 2,PlayStation 4,30/12/1981,adventure,Photobug,M for Mature,97.04,false,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio."
Destiny 2,Xbox One,07/09/2000,role-playing,Skajo,M for Mature,64.89,false,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
Borderlands 3,Nintendo Switch,27/10/2000,action,Zoonoodle,M for Mature,64.72,true,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
The Witcher 3: Wild Hunt,PC,13/09/1989,shooter,Kare,M for Mature,73.68,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
Super Smash Bros. Ultimate,PlayStation 4,10/11/1988,sandbox,Tekfly,T for Teen,25.27,false,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
Mario Kart 8 Deluxe,Xbox One,05/08/1993,platformer,Zoomdog,T for Teen,83.32,false,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Splatoon 2,Nintendo Switch,03/02/2003,platformer,Photobug,E for Everyone,87.09,false,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
Pokémon Go,PC,07/05/2014,educational,Vipe,M for Mature,59.22,false,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
